instruction,input,output
You will be given an utterance comparing garden chair to another chair. Your task is to rewrite the given utterance as a description specifically about the garden chair.,Can you rewrite please the following utterance comparing garden chair to another chair as a description specifically about the garden chair? Utterance: Target chair is smaller and lower to the ground..,a small garden chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target has fewer spindles than the distractor..,a chair with few spindles
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It is shorter.,a short chair
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: It has spindles.,a side chair with spindles
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target chairs' back has a large trapezoid cutout..,a chair with large trapezoid cutout
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target chair is made of wire..,a chair made of wire
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: It has a pillow on it.,a straight chair with a pillow on it
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: the back legs are a flat piece.,an armchair with a flat piece back legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has a top rail..,a chair with a top rail
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The chair legs are narrower.,a chair with narrow legs
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The target chair has shorter legs..,an armchair with short legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target has shorter legs..,a chair with short legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has two legs..,a chair with two legs
You will be given an utterance comparing chaise to another chair. Your task is to rewrite the given utterance as a description specifically about the chaise.,Can you rewrite please the following utterance comparing chaise to another chair as a description specifically about the chaise? Utterance: The target is foldable..,a foldable chaise
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: Its seat surface is much thinner..,an armchair wuth a thin seat surface
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It does not have roller wheels..,a chair without roller wheels
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The target chair has no seat cushion..,a chair without a seat cushion
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: Target chair is longer and slimmer..,achair with short legs
You will be given an utterance comparing straight chair to another chair. Your task is to rewrite the given utterance as a description specifically about the straight chair.,Can you rewrite please the following utterance comparing straight chair to another chair as a description specifically about the straight chair? Utterance: it is not a lounge chair.,a long and slim chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The seat sits more level.,a straight chair
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The seat is more conformed to the body.,a chair with high seat
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The target has four slightly rectangular legs..,an armchair with four slightly rectangular legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The target chair legs have many ornate baluster turnings..,a side chair with many ornate baluster turnings on its legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The chair has no arms..,side chair without arms
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The back rest has an additional piece on it.,a chair with additional piece on its back rest
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The chair is like a half circle.,a chair that is like a half circle
You will be given an utterance comparing lawn chair to another chair. Your task is to rewrite the given utterance as a description specifically about the lawn chair.,Can you rewrite please the following utterance comparing lawn chair to another chair as a description specifically about the lawn chair? Utterance: The target has no leg spindles..,lawn chair without leg spindles
You will be given an utterance comparing swivel chair to another chair. Your task is to rewrite the given utterance as a description specifically about the swivel chair.,Can you rewrite please the following utterance comparing swivel chair to another chair as a description specifically about the swivel chair? Utterance: the legs are thin and long.,a swivel chair with thin and long legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: Target chair has a designed back.,a side chair with a designed back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has four fully attached legs..,a side chair with a very arty and modern seat
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: It has a curved back.,a chair with a curved back
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,"Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: it has two, thin legs.",a club chair with short legs
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The headrest is shorter.,a chair with two thin legs
You will be given an utterance comparing side chair to another chair. Your task is to rewrite the given utterance as a description specifically about the side chair.,Can you rewrite please the following utterance comparing side chair to another chair as a description specifically about the side chair? Utterance: The backrest seems less ornate.,a side chair with a backrest that is not very ornate
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: The backrest is flat.,a chair with a flat backrest
You will be given an utterance comparing club chair to another chair. Your task is to rewrite the given utterance as a description specifically about the club chair.,Can you rewrite please the following utterance comparing club chair to another chair as a description specifically about the club chair? Utterance: The chair has two arms with round tops.,a club chair with two arms with round tops
You will be given an utterance comparing Windsor chair to another chair. Your task is to rewrite the given utterance as a description specifically about the Windsor chair.,Can you rewrite please the following utterance comparing Windsor chair to another chair as a description specifically about the Windsor chair? Utterance: The target has more vertical spindles.,a windsor chair with vertical spindles
You will be given an utterance comparing chair to another chair. Your task is to rewrite the given utterance as a description specifically about the chair.,Can you rewrite please the following utterance comparing chair to another chair as a description specifically about the chair? Utterance: it is a bar stool.,a chair with no arms
You will be given an utterance comparing armchair to another chair. Your task is to rewrite the given utterance as a description specifically about the armchair.,Can you rewrite please the following utterance comparing armchair to another chair as a description specifically about the armchair? Utterance: The target has four separate legs..,a bar stool chair
